ID	字头	级别	课标字表标记	低段字序	中低段字序	全段字序
864	季	b	表一	769	942	981
865	堂	b	表一	1075	944	862
866	德	b	表一	756	537	481
867	奶	a	表一，308	167	232	346
868	挥	b	表一	1082	998	941
869	式	c	表一	1358	1174	1032
870	秘	b	表一	1221	925	993
871	叹	c	表一	1007	1130	1070
872	伟	b	表一	1275	1021	871
873	章	c	表一	1123	1113	986
874	族	b	表一	828	824	718
875	印	b	表一	834	918	917
876	仅	c	表一	1789	1163	971
877	朗	b	表一	1000	1019	1059
878	阴	a	表一，308	924	1069	1022
879	释	b	表一	1611	1074	1085
880	堆	b	表一	1015	1016	1028
881	旧	c	表一	1455	1149	965
882	际	b	表一	1695	1049	1029
883	洁	b	表一	829	970	1100
884	禁	c	表一	1502	1205	1120
885	器	b	表一	802	695	694
886	登	b	表一	1120	949	894
887	史	c	表一	1858	1207	751
888	设	b	表一	1480	1027	968
889	退	b	表一	1148	1026	1011
890	柔	b	表一	1308	1090	1113
891	联	b	表一	1154	971	908
892	谷	b	表一	675	772	783
893	桥	a	表一	342	374	424
894	绕	b	表一	945	1085	1125
895	换	b	表一	1051	919	974
896	厚	b	表一	872	876	916
897	脱	c	表一	1158	1159	1042
898	胡	b	表一	689	737	675
899	治	b	表一	700	848	842
900	育	b	表一	983	1052	953
901	专	c	表一	1124	1136	1065
902	况	c	表一	1591	1185	1099
903	肉	a	表一，308	1191	929	924
904	罗	b	表一	867	526	455
905	既	c	表一	1406	1254	1137
906	溪	a	表一	459	559	676
907	忍	c	表一	1633	1118	1062
908	若	c	表一	1790	1197	955
909	词	b	表一	1052	1028	1019
910	列	b	表一	796	744	807
911	谈	c	表一	1555	1144	947
912	困	b	表一	1014	1001	998
913	状	b	表一	1149	1081	1081
914	费	b	表一	1094	1066	1060
915	淡	b	表一	1062	1011	969
916	归	c	表一	1181	1198	1044
917	演	b	表一	841	812	736
918	义	c	表一	1372	1128	861
919	乘	b	表一	1034	946	1006
920	官	b	表一	910	634	585
921	粗	c	表一	1076	1096	1128
922	索	c	表一	1501	1117	959
923	京	a	表一，308	578	836	727
924	扎	b	表一	1249	1089	1057
925	敬	b	表一	1095	1070	1002
926	摘	a	表一	566	827	1051
927	迹	c	表一	1484	1160	1053
928	净	b	表一	1023	1031	1005
929	弹	b	表一	869	694	654
930	降	b	表一	1068	995	1000
931	态	c	表一	1554	1135	1061
932	鼻	b	表一	880	902	1033
933	玉	a	表一，308	611	746	720
934	户	b	表一	887	974	1048
935	医	a	表一，308	602	556	628
936	封	b	表一	933	996	888
937	牙	a	表一，308	996	885	900
938	掌	b	表一	941	822	889
939	鸣	c	表一	984	1123	1052
940	麻	b	表一	863	803	882
941	验	b	表一	1248	938	868
942	威	b	表一	1105	947	834
943	优	c	表一	1439	1204	1103
944	束	b	表一	1037	1075	1098
945	紫	b	表一	762	907	1030
946	修	b	表一	701	854	725
947	折	b	表一	1054	1071	1049
948	横	c	表一	1856	1108	1034
949	守	c	表一	1333	1164	1031
950	雷	b	表一	727	684	774
951	投	c	表一	1356	1101	1087
952	汗	b	表一	873	1063	1091
953	善	c	表一	1557	1232	1055
954	担	b	表一	816	999	964
955	湿	b	表一	1260	1091	1135
956	赏	c	表一	1297	1179	1108
957	缝	b	表一	742	882	958
958	映	b	表一	922	1029	1096
959	壁	b	表一	680	799	800
960	嫩	b	表一	847	952	1145
961	舒	c	表一	1197	1190	1147
962	烂	c	表一	1339	1245	1208
963	睁	c	表一	1096	1146	1206
964	硬	c	表一	1077	1145	1037
965	浓	c	表一	1239	1129	1056
966	附	c	表一	1298	1276	1232
967	练	b	表一	894	853	880
968	组	c	表一	957	1114	1084
969	哥	a	表一，308	302	403	507
970	乌	a	表一	324	597	765
971	兔	a	表一	206	534	835
972	汽	b	表一	728	699	890
973	拔	c	表一	857	1126	1132
974	柳	a	表一	488	758	799
975	级	b	表一	1328	978	928
976	疑	c	表一	1018	1166	1115
977	戴	b	表一	999	1018	992
978	卖	b	表一	747	667	760
979	穷	b	表一	943	906	984
980	恐	b	表一	979	937	1021
981	商	b	表一	1035	969	951
982	股	c	表一	1338	1244	1124
983	创	c	表一	1457	1233	1046
984	怒	c	表一	1821	1315	1148
985	碧	b	表一	849	1042	1104
986	导	b	表一	995	852	854
987	滴	b	表一	731	845	962
988	压	c	表一	1332	1137	1074
989	胸	c	表一	1357	1167	1126
990	桃	a	表一	347	550	685
991	肚	b	表一	923	1050	1177
992	互	c	表一	1280	1178	1217
993	毫	c	表一	1897	1498	1219
994	获	c	表一	1612	1181	1143
995	震	c	表一	1481	1094	1093
996	蒙	b	表一	886	833	850
997	涌	c	表一	1532	1270	1195
998	镜	a	表一	552	724	847
999	含	c	表一	1458	1235	1166
1000	刺	a	表一	516	844	991
1001	织	b	表一	676	881	816
1002	挑	b	表一	671	895	966
1003	蛋	a	表一	514	662	933
1004	雾	b	表一	833	862	820
1005	欣	b	表一	1418	1053	1139
1006	划	c	表一	1283	1230	1038
1007	蹦	b	表二	717	961	1193
1008	借	b	表一	711	992	1075
1009	卷	c	表一	1392	1182	1047
1010	阔	c	表一	1666	1301	1301
1011	呆	c	表一	1330	1102	1123
1012	撒	b	表一	1016	1064	1226
1013	危	b	表一	1553	1073	1127
1014	粉	c	表一	947	1138	1159
1015	滑	c	表一	906	1103	1169
1016	托	c	表一	1250	1161	1082
1017	鼠	a	表一	226	461	671
1018	苏	b	表一	631	688	873
1019	省	c	表一	1069	1210	1170
1020	浮	b	表一	1179	1037	1112
1021	咬	b	表一	982	1012	1114
1022	篇	c	表一	1824	1419	1133
1023	骨	c	表一	1391	1169	927
1024	贴	c	表一	967	1095	1234
1025	旅	b	表一	1107	1022	1036
1026	较	c	表一	2250	1437	1200
1027	肩	c	表一	1360	1225	1156
1028	聚	c	表一	1344	1390	1268
1029	阿	a	表一	485	518	574
1030	普	b	表一	1354	968	925
1031	务	c	表一	1456	1153	1015
1032	幅	c	表一	991	1141	1151
1033	研	b	表一	1117	908	851
1034	跃	c	表一	1614	1266	1199
1035	碎	c	表一	1335	1180	1153
1036	舍	c	表一	1459	1237	1194
1037	池	a	表一	597	677	944
1038	杀	b	表一	1355	1078	946
1039	艺	c	表一	1310	1162	866
1040	晃	b	表一	1136	1083	1092
1041	仰	c	表一	1460	1271	1218
1042	苍	c	表一	925	1134	1018
1043	俩	b	表一	799	1004	1086
1044	恶	c	表一	1638	1265	1176
1045	拥	c	表一	1932	1356	1223
1046	赛	b	表一	818	690	791
1047	植	b	表一	786	749	898
1048	晴	c	表一	949	1218	1336
1049	余	c	表一	2140	1420	1175
1050	卫	a	表一，308	1032	763	794
1051	晶	b	表一	800	1043	1248
1052	聪	b	表一	874	1079	1265
1053	偷	b	表一	955	972	930
1054	蝶	a	表一	448	756	960
1055	献	c	表一	1359	1199	1163
1056	议	c	表一	1421	1263	1161
1057	埋	c	表一	1212	1186	1201
1058	捧	c	表一	1056	1184	1330
1059	敌	b	表一	761	645	531
1060	插	c	表一	1161	1305	1243
1061	耀	c	表一	1440	1296	1324
1062	宋	b	表一	879	888	936
1063	阅	c	表一	1728	1403	1146
1064	酒	b	表一	1722	1040	837
1065	眉	c	表一	1226	1251	1254
1066	杂	c	表一	1756	1272	1007
1067	蜜	a	表一	557	704	961
1068	繁	c	表一	1536	1353	1270
1069	弱	c	表一	1243	1255	1165
1070	武	b	表一	912	861	689
1071	豆	a	表一，308	674	639	822
1072	骑	c	表一	1122	1087	1014
1073	猫	a	表一，308	339	646	818
1074	姓	b	表一	830	1034	1010
1075	隐	c	表一	1337	1209	1168
1076	苗	a	表一	523	874	1077
1077	泉	a	表一	606	774	810
1078	抽	c	表一	1395	1227	1160
1079	灭	c	表一	1214	1234	1134
1080	搬	c	表一	1055	1109	1138
1081	智	c	表一	1375	1241	1129
1082	坡	c	表一	882	1170	1190
1083	值	c	表一	1506	1438	1229
1084	旋	c	表一	1700	1375	1256
1085	狂	c	表一	1592	1284	1205
1086	胆	c	表一	1461	1274	1228
1087	串	b	表一	931	887	1167
1088	置	c	表一	1791	1416	1292
1089	磨	b	表一	1224	1017	1050
1090	浑	c	表一	1380	1440	1356
1091	溜	c	表一	1038	1097	1184
1092	统	c	表一	2089	1299	1119
1093	贝	a	表一，308	415	566	699
1094	兰	a	表一	423	642	627
1095	良	b	表一	1135	1030	1107
1096	翠	b	表一	1193	1023	1207
1097	征	c	表一	1152	1328	1078
1098	查	c	表一	1017	1125	1215
1099	昏	c	表一	1505	1269	1180
1100	塞	c	表一	1334	1165	1109
1101	洒	c	表一	1008	1249	1334
1102	丢	c	表一	866	1188	1278
1103	软	c	表一	1160	1261	1327
1104	垂	c	表一	1183	1289	1285
1105	窝	b	表一	642	878	1024
1106	剩	c	表一	1342	1357	1259
1107	踏	c	表一	1441	1322	1294
1108	扫	c	表一	1110	1220	1116
1109	规	c	表一	1820	1259	1247
1110	州	c	表一	1634	1147	1012
1111	虎	a	表一	350	585	733
1112	蛙	a	表一	265	635	1017
1113	艳	c	表一	1040	1215	1347
1114	替	c	表一	1485	1238	1255
1115	拼	c	表一	1346	1433	1389
1116	质	c	表一	1671	1467	1272
1117	逐	c	表一	1933	1385	1341
1118	孙	b	表一	737	715	755
1119	描	c	表一	904	1336	1283
1120	宫	c	表一	1309	1111	903
1121	适	c	表一	1822	1384	1340
1122	移	c	表一	1635	1154	1111
1123	笼	c	表一	1025	1142	1118
1124	药	b	表一	805	847	798
1125	猴	a	表一	262	508	711
1126	染	c	表一	1487	1313	1370
1127	慌	c	表一	1085	1256	1380
1128	疼	c	表一	1098	1219	1349
1129	枪	b	表一	1258	832	817
1130	握	c	表一	1593	1346	1251
1131	擦	c	表一	934	1172	1249
1132	杨	a	表一	508	959	826
1133	熊	a	表一	237	571	813
1134	悲	c	表一	1639	1279	1225
1135	健	c	表一	1396	1391	1287
1136	庭	c	表一	1529	1098	1198
1137	筑	c	表一	1281	1189	983
1138	店	b	表一	1177	955	827
1139	技	c	表一	1558	1287	1121
1140	负	c	表一	1757	1456	1305
1141	标	c	表一	1760	1536	1314
1142	仙	b	表一	721	910	945
1143	旗	b	表一	825	1024	976
1144	扔	c	表一	946	1099	1245
1145	证	c	表一	2005	1415	1258
1146	挤	c	表一	1420	1248	1260
1147	途	c	表一	2313	1487	1335
1148	防	c	表一	1725	1295	1238
1149	薄	c	表一	1242	1222	1212
1150	瓜	a	表一，308	430	769	753
1151	蜂	a	表一	620	720	878
1152	抖	c	表一	1578	1329	1299
1153	唤	c	表一	1312	1281	1388
1154	邻	c	表一	1211	1152	1241
1155	抢	c	表一	1299	1363	1345
1156	悠	c	表一	1180	1155	1149
1157	暴	c	表一	1699	1344	1178
1158	姿	c	表一	1862	1517	1386
1159	咱	c	表一	1083	1187	1203
1160	宁	b	表一	707	920	1079
1161	饿	c	表一	1099	1277	1288
1162	峰	b	表一	963	864	843
1163	肥	b	表一	1108	1092	1313
1164	披	c	表一	1153	1358	1363
1165	责	c	表一	1670	1455	1352
1166	傍	c	表一	1162	1339	1459
1167	捕	c	表一	1422	1285	1316
1168	隔	c	表一	1672	1470	1372
1169	岛	b	表一	636	678	788
1170	蝴	a	表一	482	828	1067
1171	增	c	表一	2040	1543	1366
1172	欲	c	表一	1400	1442	1348
1173	孔	b	表一	806	880	808
1174	夺	c	表一	2092	1392	1325
1175	秀	c	表一	1361	1247	1246
1176	粒	b	表一	944	1039	1293
1177	遥	c	表一	1041	1252	1408
1178	撞	c	表一	1393	1200	1221
1179	壳	b	表一	705	780	1026
1180	雀	b	表一	660	834	995
1181	伯	a	表一	539	517	545
1182	份	c	表一	1698	1337	1295
1183	寂	c	表一	2094	1601	1431
1184	敲	c	表一	850	1148	1183
1185	番	c	表一	1935	1501	1504
1186	隆	b	表一	981	1003	942
1187	帝	b	表一	1130	923	702
1188	怜	c	表一	1378	1310	1291
1189	幕	c	表一	1615	1307	1328
1190	摔	c	表一	1182	1262	1343
1191	勤	c	表一	1398	1417	1393
1192	潮	b	表一	1721	979	1039
1193	零	b	表一	865	1076	1102
1194	伏	c	表一	1538	1439	1351
1195	脖	c	表一	1125	1297	1423
1196	燕	a	表一	437	653	901
1197	挖	a	表一	623	867	1035
1198	荒	c	表一	1825	1443	1362
1199	司	b	表一	1091	901	907
1200	诵	c	表二	1231	1380	1502
1201	丁	a	表一	329	621	754
1202	吐	c	表一	1009	1286	1419
1203	洲	c	表一	1213	1208	1155
1204	亚	b	表一	901	875	956
1205	鸭	a	表一	286	670	996
1206	盆	c	表一	852	1183	1187
1207	警	c	表一	1531	1158	999
1208	塘	a	表一	457	823	1072
1209	操	b	表一	650	1065	1058
1210	孤	c	表一	1262	1354	1338
1211	努	c	表一	1423	1404	1420
1212	挨	c	表一	1727	1378	1417
1213	凡	c	表一	1284	1351	1197
1214	价	c	表一	2193	1530	1315
1215	姐	a	表一，308	420	610	643
1216	耐	c	表一	1401	1472	1547
1217	套	c	表一	1340	1302	1308
1218	惜	c	表一	1509	1549	1440
1219	滩	b	表一	777	917	1054
1220	陆	c	表一	1504	1221	1110
1221	毕	c	表一	1444	1407	1222
1222	搭	c	表一	1394	1213	1302
1223	基	c	表一	897	1086	1001
1224	疲	c	表一	1489	1482	1481
1225	茫	c	表一	1279	1140	1083
1226	犹	c	表一	1594	1379	1437
1227	镇	b	表一	1788	1084	1095
1228	饱	a	表一，308	1139	1396	1491
1229	闭	c	表一	1399	1422	1446
1230	牵	c	表一	1026	1193	1369
1231	抗	c	表一	1792	1450	1244
1232	迅	c	表一	1488	1345	1240
1233	茂	c	表一	1215	1331	1457
1234	拾	c	表一	1199	1349	1466
1235	网	a	表一，308	888	989	1142
1236	绳	c	表一	1419	1156	1242
1237	梅	b	表一	632	877	972
1238	烦	c	表一	1426	1505	1566
1239	维	b	表一	1121	1048	1020
1240	哦	c	表一	1163	1373	1546
1241	篮	b	表一	807	1072	1233
1242	糊	c	表一	1408	1366	1269
1243	概	c	表一	2453	1714	1439
1244	递	c	表一	1613	1228	1371
1245	辛	c	表一	1263	1370	1387
1246	润	c	表一	1535	1343	1458
1247	兄	c	表一	1097	1177	1174
1248	斜	c	表一	1556	1223	1359
1249	艰	c	表一	1965	1675	1398
1250	资	c	表一	1794	1468	1306
1251	枯	c	表一	1345	1394	1401
1252	缓	c	表一	1637	1246	1094
1253	莫	c	表一	1377	1306	1209
1254	轰	c	表一	1251	1323	1344
1255	缺	c	表一	1579	1583	1442
1256	超	c	表一	1616	1324	1390
1257	娃	a	表一	310	612	734
1258	针	c	表一	1010	1300	1284
1259	傲	c	表一	1533	1290	1317
1260	灿	c	表一	1086	1318	1469
1261	纹	c	表一	1228	1355	1409
1262	融	c	表一	1673	1481	1443
1263	载	c	表一	1765	1628	1318
1264	航	b	表一	1223	1009	978
1265	喷	c	表一	1112	1275	1337
1266	触	c	表一	2039	1453	1518
1267	厉	c	表一	1865	1600	1429
1268	晒	c	表一	843	1243	1519
1269	臂	c	表一	1675	1573	1549
1270	忆	c	表一	2141	1500	1312
1271	诚	c	表一	1640	1434	1404
1272	免	c	表一	2254	1719	1553
1273	遮	c	表一	1427	1508	1563
1274	羽	a	表一，308	848	1013	1162
1275	圣	c	表一	1577	1216	1025
1276	拖	c	表一	1669	1421	1395
1277	案	c	表一	1507	1469	1367
1278	盯	d	表一	1364	1462	1629
1279	甲	b	表一	1390	1005	1009
1280	喂	c	表一	1443	1402	1499
1281	捡	c	表二	969	1226	1379
1282	败	c	表一	1705	1548	1275
1283	馆	c	表一	1157	1093	1071
1284	叔	a	表一	462	542	667
1285	刘	b	表一	978	935	865
1286	倾	c	表一	2194	1623	1427
1287	尊	c	表一	1902	1602	1447
1288	鬼	b	表一	1234	664	714
1289	残	c	表一	2319	1728	1444
1290	鞋	b	表一	780	973	819
1291	醉	c	表一	1539	1459	1402
1292	付	c	表一	1896	1457	1476
1293	盼	c	表一	1042	1397	1505
1294	副	c	表一	2252	1704	1368
1295	挡	c	表一	1464	1492	1586
1296	铃	b	表一	755	1038	1252
1297	浅	c	表一	1070	1308	1399
1298	营	c	表一	1827	1559	1271
1299	妹	a	表一，308	481	739	708
1300	扇	b	表一	694	956	1179
1301	渴	c	表一	1230	1367	1424
1302	脆	d	表一	1642	1553	1609
1303	遭	c	表一	2258	1839	1570
1304	闲	c	表一	1677	1617	1594
1305	幼	c	表一	1664	1239	1311
1306	纳	b	表一	1129	896	1016
1307	型	c	表一	1730	1446	1411
1308	攻	c	表一	1559	1288	1204
1309	尺	a	表一，308	1078	1280	1279
1310	挣	c	表一	1726	1340	1364
1311	稀	d	表一	1738	1688	1615
1312	述	c	表一	2041	1591	1485
1313	讨	d	表一	1701	1477	1604
1314	柴	b	表一	1178	1036	950
1315	璃	c	表一	1296	1088	1043
1316	祝	c	表一	1216	1347	1428
1317	源	c	表一	1679	1635	1181
1318	稳	c	表一	1424	1460	1487
1319	井	a	表一	456	701	892
1320	滋	c	表一	1200	1414	1538
1321	奏	c	表一	1534	1334	1196
1322	补	c	表一	1462	1341	1384
1323	眨	c	表一	972	1319	1576
1324	奥	c	表一	1311	1203	994
1325	剧	c	表一	1895	1365	1106
1326	岩	c	表一	1063	1250	1216
1327	霞	c	表一	1111	1242	1235
1328	帽	b	表一	997	903	1041
1329	伞	a	表一	535	830	1164
1330	席	c	表一	1001	1168	855
1331	哗	a	表一	607	926	1150
1332	误	c	表一	1734	1639	1534
1333	弃	c	表一	2454	1741	1537
1334	顽	d	表一	1493	1669	1676
1335	凝	c	表一	2452	1667	1470
1336	荷	a	表一	476	747	988
1337	蹲	c	表一	1301	1429	1526
1338	固	d	表一	1733	1561	1610
1339	丈	c	表一	1793	1454	1257
1340	略	c	表一	2142	1507	1303
1341	劝	c	表一	1101	1512	1465
1342	辉	c	表一	1868	1754	1483
1343	驶	c	表一	1442	1364	1382
1344	鲁	b	表一	738	790	603
1345	唯	c	表一	2099	1838	1516
1346	尘	c	表一	1665	1291	1333
1347	凶	c	表一	1731	1483	1507
1348	琴	b	表一	798	892	879
1349	政	c	表一	1795	1486	1141
1350	刮	d	表一	1184	1448	1639
1351	陈	b	表一	1156	1057	1136
1352	皇	c	表一	1407	1257	985
1353	扶	c	表一	1469	1594	1554
1354	悦	d	表一	2011	1793	1690
1355	遗	c	表一	2321	1781	1434
1356	芽	c	表一	695	1100	1414
1357	供	c	表一	1967	1735	1510
1358	闷	d	表一	1428	1514	1603
1359	夹	c	表一	1645	1652	1406
1360	缩	c	表一	1800	1705	1529
1361	启	c	表一	1429	1518	1564
1362	燃	c	表一	1676	1581	1323
1363	玻	c	表一	1331	1124	1066
1364	享	c	表一	2048	1817	1569
1365	荣	c	表一	1798	1651	1377
1366	焦	d	表一	1762	1587	1660
1367	撑	d	表一	1266	1562	1640
1368	餐	c	表一	1562	1445	1453
1369	舌	a	表一，308	1343	1388	1608
1370	宣	c	表一	1797	1637	1396
1371	占	d	表一	2633	1720	1606
1372	匹	c	表一	1196	1151	1227
1373	梁	c	表一	1132	1377	1267
1374	批	c	表一	1739	1791	1555
1375	川	c	表一	733	1120	1307
1376	侧	c	表一	2316	1593	1544
1377	奖	c	表一	1285	1362	1237
1378	屈	c	表一	1678	1624	1541
1379	属	c	表一	2143	1582	1422
1380	裂	c	表一	1697	1292	1472
1381	砍	c	表一	898	1212	1297
1382	惯	d	表一	1806	1955	1624
1383	芳	c	表一	1286	1368	1425
1384	素	c	表一	2008	1629	1438
1385	兽	c	表一	1071	1352	1262
1386	哎	d	表一	1045	1564	1705
1387	鹿	a	表一	441	614	869
1388	偏	c	表一	1512	1574	1559
1389	肃	c	表一	1910	1885	1373
1390	疾	d	表一	2148	1767	1617
1391	鹅	a	表一	550	607	782
1392	介	c	表一	1903	1603	1591
1393	否	c	表一	2530	1641	1580
1394	项	c	表一	1348	1531	1353
1395	社	c	表一	1647	1711	1454
1396	拜	c	表一	1732	1558	1266
1397	豪	d	表一	2050	1826	1643
1398	寄	c	表一	1302	1490	1467
1399	栽	c	表一	987	1406	1498
1400	妇	c	表一	2037	1253	1131
1401	杆	c	表一	1159	1260	1319
1402	筋	d	表一	1189	1588	1786
1403	恨	d	表一	2253	1706	1601
1404	县	c	表一	1766	1636	1339
1405	椅	c	表一	1411	1571	1416
1406	绍	d	表一	1710	1655	1641
1407	胖	a	表一，308	682	1058	1407
1408	耍	d	表一	1188	1528	1721
1409	访	c	表一	2044	1765	1568
1410	碗	c	表一	1374	1150	1063
1411	粮	c	表一	853	1278	1346
1412	预	c	表一	2007	1584	1501
1413	施	c	表一	1510	1550	1488
1414	承	c	表一	1768	1684	1482
1415	抚	d	表一	1566	1676	1634
1416	猜	c	表一	1245	1471	1514
1417	牢	c	表一	1151	1282	1410
1418	牧	c	表一	1241	1211	1214
1419	虚	d	表一	1776	1923	1657
1420	夕	d	表一	1833	1730	1637
1421	塔	c	表一	1195	1110	893
1422	涛	c	表一	1599	1597	1517
1423	吵	a	表一，308	1140	1485	1805
1424	嚷	d	表一	1412	1595	1727
1425	偶	c	表一	2192	1409	1455
1426	趴	d	表二	1114	1608	1794
1427	刷	c	表一	1227	1304	1172
1428	夸	c	表一	1252	1381	1557
1429	麦	b	表一	1146	1002	1152
1430	箭	b	表一	1278	1080	987
1431	泼	c	表一	985	1326	1486
1432	巾	a	表一，308	1167	1478	1644
1433	限	d	表一	2729	1985	1638
1434	茶	c	表一	1483	1127	860
1435	罢	c	表一	2104	1892	1477
1436	博	c	表一	1595	1480	1394
1437	配	d	表一	2047	1812	1697
1438	脏	c	表一	1043	1424	1545
1439	涂	d	表一	1648	1733	1724
1440	炮	b	表一	1454	1067	1105
1441	酸	c	表一	1229	1359	1435
1442	迫	d	表一	2848	1948	1678
1443	悬	c	表一	2196	1803	1478
1444	庆	c	表一	1636	1236	1185
1445	瓣	c	表一	1198	1196	1286
1446	避	d	表一	1799	1690	1651
1447	棒	c	表一	958	1143	1182
1448	迟	c	表一	1268	1572	1548
1449	墨	c	表一	1704	1544	1376
1450	翔	c	表一	1537	1372	1509
1451	尝	c	表一	1187	1502	1533
1452	晓	d	表一	1113	1532	1618
1453	典	c	表一	1490	1499	1298
1454	踩	d	表一	1317	1441	1633
1455	陪	d	表一	1382	1653	1630
1456	鹰	c	表一	766	1115	1264
1457	雅	c	表一	1617	1338	1304
1458	竖	d	表一	1542	1578	1648
1459	末	d	表一	1521	1894	1670
1460	播	d	表一	1447	1642	1700
1461	吼	c	表一	1969	1766	1583
1462	辆	c	表一	1300	1395	1448
1463	瘦	c	表一	1674	1545	1405
1464	慈	c	表一	1581	1687	1590
1465	喘	d	表一	1769	1701	1815
1466	测	c	表一	2529	1311	1296
1467	甘	c	表一	1683	1755	1500
1468	慰	d	表一	2098	1768	1677
1469	昨	c	表一	1409	1435	1506
1470	舟	c	表一	1201	1451	1432
1471	律	c	表一	1901	1592	1495
1472	凭	d	表一	2019	1973	1749
1473	亡	c	表一	1767	1658	1511
1474	铜	c	表一	1240	1133	1282
1475	减	d	表一	1596	1494	1665
1476	棉	c	表一	789	1348	1452
1477	驾	d	表一	1643	1585	1602
1478	狠	c	表一	1508	1475	1361
1479	稻	c	表一	907	1258	1154
1480	卡	b	表一	712	994	870
1481	泛	d	表一	2203	1949	1837
1482	泡	c	表一	1503	1206	1475
1483	恩	b	表一	1273	965	957
1484	局	c	表一	2315	1524	1456
1485	冻	c	表一	1363	1428	1415
1486	添	d	表一	1583	1698	1708
1487	罩	d	表一	1711	1672	1771
1488	柱	c	表一	1561	1413	1403
1489	骄	c	表一	1563	1513	1574
1490	卧	d	表一	1864	1586	1642
1491	构	d	表一	2379	1861	1682
1492	览	d	表一	1737	1679	1738
1493	灌	d	表一	1470	1606	1741
1494	译	d	表一	1522	1959	1936
1495	陶	c	表一	1282	1191	1280
1496	颤	d	表一	2093	1563	1655
1497	匆	c	表一	1486	1268	1140
1498	评	c	表一	1264	1519	1571
1499	逼	d	表一	1938	1820	1680
1500	杯	c	表一	1254	1401	1381
1501	幻	c	表一	2456	1825	1584
1502	瞪	d	表一	1686	1789	1915
1503	冠	d	表一	1623	1731	1666
1504	斑	c	表一	1668	1398	1512
1505	瓶	a	表一	586	825	1040
1506	翼	c	表一	1962	1418	1451
1507	勃	c	表一	1362	1393	1392
1508	抛	d	表一	1963	1613	1742
1509	愉	d	表一	1802	1795	1768
1510	丧	d	表一	2105	1926	1812
1511	返	d	表一	2255	1773	1646
1512	尼	b	表一	1036	1061	937
1513	幽	d	表一	2269	2114	1611
1514	敏	d	表一	1367	1656	1689
1515	叠	c	表一	1168	1484	1520
1516	洪	c	表一	968	1173	1250
1517	训	c	表一	1970	1804	1484
1518	唉	d	表一	1204	1633	1806
1519	妻	c	表一	2090	1335	1273
1520	婆	a	表一	551	652	863
1521	猎	c	表一	1373	1132	1192
1522	雕	c	表一	2314	1523	1358
1523	蚂	a	表一	522	802	1122
1524	府	c	表一	1622	1695	1329
1525	序	d	表一	1871	1813	1755
1526	宇	c	表一	1261	1273	1191
1527	灾	d	表一	1544	1721	1650
1528	箱	c	表一	1336	1192	1360
1529	饮	c	表一	2317	1715	1489
1530	剪	c	表一	1194	1106	1281
1531	爽	d	表一	1773	1814	1796
1532	炎	c	表一	1706	1551	1567
1533	忧	d	表一	2199	1873	1763
1534	陷	d	表一	2991	1604	1595
1535	莹	d	表二	1468	1555	1795
1536	猪	c	表一	770	1107	1383
1537	委	c	表一	1870	1764	1494
1538	跨	d	表一	2053	1844	1869
1539	狼	b	表一	768	793	857
1540	阻	d	表一	1964	1661	1703
1541	吞	d	表一	1513	1579	1669
1542	贫	d	表一	2054	1944	1712
1543	稍	d	表一	2147	1756	1730
1544	羞	d	表一	1584	1850	1774
1545	愣	d	表一	1837	1806	1792
1546	呈	d	表一	2726	1902	1746
1547	侵	c	表一	2145	1686	1561
1548	佩	d	表一	1904	1671	1731
1549	厅	c	表一	1863	1576	1587
1550	恼	d	表一	1841	1836	1927
1551	掏	d	表一	1761	1554	1645
1552	郁	d	表一	1709	1618	1600
1553	霜	d	表一	1321	1736	1693
1554	牲	d	表一	2322	1862	1720
1555	钢	c	表一	1289	1649	1558
1556	册	a	表一，308	1247	1788	1879
1557	懒	d	表一	1190	1763	1960
1558	屏	d	表一	1763	1596	1775
1559	慧	d	表一	1832	1702	1820
1560	录	c	表一	2097	1718	1552
1561	逗	d	表二	1474	1761	1877
1562	稼	d	表一	1165	1436	1627
1563	傻	d	表一	1494	1700	1782
1565	瓦	d	表一	1465	1493	1613
1566	延	d	表一	2015	1913	1729
1567	郊	d	表一	1624	1905	1895
1568	炸	c	表一	1315	1412	1350
1569	吉	c	表一	1861	1444	1400
1570	貌	d	表一	2270	2115	1829
1571	励	d	表一	2110	2007	1848
1572	革	c	表一	1906	1753	1397
1573	裹	d	表一	1449	1775	1770
1574	爆	c	表一	2374	1650	1562
1575	渔	c	表一	1150	1201	1289
1576	拨	d	表一	1772	1796	1784
1577	皱	d	表一	1971	1856	1743
1578	矮	c	表一	1169	1537	1521
1579	佚	d		1524	2037	2085
1580	央	d	表一	1908	1818	1616
1581	纯	d	表一	2463	2004	1605
1582	仗	d	表一	1651	1805	1728
1583	齿	d	表一	1287	1534	1706
1584	沟	c	表一	1084	1214	1342
1585	纵	d	表一	2210	2091	1828
1586	魔	b	表一	730	835	1076
1587	趁	d	表一	1652	1808	1884
1588	例	d	表一	2459	1956	1841
1589	祥	d	表一	1808	1986	1661
1590	悉	d	表一	2051	1831	1836
1591	岭	c	表一	1796	1541	1230
1592	叮	c	表一	1100	1298	1471
1593	绵	c	表一	1899	1552	1582
1594	惑	d	表一	2106	1927	1863
1595	尚	c	表一	1564	1616	1493
1596	旦	d	表一	2457	1874	1830
1597	绘	d	表一	2151	1827	1662
1598	执	d	表一	2461	1975	1793
1599	浇	d	表一	989	1533	1667
